CWE-id,Query_id,Name,Vul-type,Description
CWE-264,py/cloud-cwe-264,"CWE CATEGORY: Permissions, Privileges, and Access Controls",CleartextStorageQuery,
CWE-264,py/core-cwe-264,"CWE CATEGORY: Permissions, Privileges, and Access Controls",CommandInjectionQuery,
CWE-264,py/documentview,"CWE CATEGORY: Permissions, Privileges, and Access Controls",PathInjectionQuery,
CWE-269,py/autojump,CWE-269: Improper Privilege Management,CommandInjectionQuery,"The product does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor. "
CWE-284,py/setup,CWE-284: Improper Access Control,CommandInjectionQuery,
CWE-287,py/crypto_gnupg,CWE-287: Improper Authentication,PathInjectionQuery,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct. "
CWE-287,py/transport,CWE-287: Improper Authentication,PamAuthorizationQuery,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct. "
CWE-295,py/bindings,CWE-295: Improper Certificate Validation,WeakSensitiveDataHashingQuery,Request without certificate validation.Making a request without certificate validation can allow man-in-the-middle attacks.
CWE-326,py/httpauth.nim,Use of weak cryptographic key,WeakSensitiveDataHashingQuery,Use of a cryptographic key that is too small may allow the encryption to be broken.
CWE-330,py/packet,CWE-330: Use of Insufficiently Random Values,WeakSensitiveDataHashingQuery,The product uses insufficiently random numbers or values in a security context that depends on unpredictable numbers. 
CWE-400,py/error,CWE-400: Uncontrolled Resource Consumption,CommandInjectionQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-400,py/registerservlet,CWE-400: Uncontrolled Resource Consumption,PolynomialReDoSQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-400,py/url,CWE-400: Uncontrolled Resource Consumption,PolynomialReDoSQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-444,py/parser,CWE-444: Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),HttpHeaderInjectionQuery,
CWE-444,py/receiver,CWE-444: Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),ReflectedXssQuery,
CWE-522,py/0002_auto_20190406_1322,CWE-522: Insufficiently Protected Credentials,CleartextStorageQuery,
CWE-522,py/base-cwe-522,CWE-522: Insufficiently Protected Credentials,CleartextStorageQuery,
CWE-522,py/manage,CWE-522: Insufficiently Protected Credentials,CleartextStorageQuery,
CWE-601,py/identity,URL redirection from remote source,UrlRedirectQuery,"URL redirection based on unvalidated user input
may cause redirection to malicious web sites."
CWE-601,py/keyring,URL redirection from remote source,UrlRedirectQuery,"URL redirection based on unvalidated user input
may cause redirection to malicious web sites."
CWE-601,py/views-cwe-601,URL redirection from remote source,UrlRedirectQuery,"URL redirection based on unvalidated user input
may cause redirection to malicious web sites."
CWE-611,py/setup,XML external entity expansion,XxeQuery,"Parsing user input as an XML document with external
entity expansion is vulnerable to XXE attacks."
CWE-684,py/browsertab,CWE-684: Incorrect Provision of Specified Functionality,CommandInjectionQuery,
CWE-684,py/webkittab,CWE-684: Incorrect Provision of Specified Functionality,ReflectedXssQuery,
CWE-862,py/invite,CWE-862: Missing Authorization,ReflectedXssQuery,The product does not perform an authorization check when an actor attempts to access a resource or perform an action. 
CWE-863,py/views-cwe-863,CWE-863: Incorrect Authorization,PamAuthorizationQuery,"The product performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. "
CWE-918,py/registerservlet,CWE-918: Server-Side Request Forgery (SSRF),ServerSideRequestForgeryQuery,"Partial server-side request forgery.Making a network request to a URL that is partially user-controlled allows for request forgery attacks..The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination. "
CWE-200,py/sosreport,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CleartextStorageQuery,
CWE-200,py/swift,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CleartextLoggingQuery,
CWE-264,py/regex,"CWE CATEGORY: Permissions, Privileges, and Access Controls",RegexInjectionQuery,
CWE-264,py/sql,"CWE CATEGORY: Permissions, Privileges, and Access Controls",SqlInjectionQuery,
CWE-276,py/sos_collector,CWE-276: Incorrect Default Permissions,TarSlipQuery,
CWE-287,py/basic_auth,CWE-287: Improper Authentication,CleartextStorageQuery,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct. "
CWE-287,py/middleware,CWE-287: Improper Authentication,PamAuthorizationQuery,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct. "
CWE-310,py/pycrypto,CWE CATEGORY: Cryptographic Issues,WeakSensitiveDataHashingQuery,
CWE-352,py/filescheme,CSRF protection weakened or disabled,UrlRedirectQuery,"Disabling or weakening CSRF protection may make the application
vulnerable to a Cross-Site Request Forgery (CSRF) attack."
CWE-400,py/stringutils,CWE-400: Uncontrolled Resource Consumption,PolynomialReDoSQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-863,py/kickban,CWE-863: Incorrect Authorization,PamAuthorizationQuery,"The product performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. "
CWE-918,py/sydent,CWE-918: Server-Side Request Forgery (SSRF),ServerSideRequestForgeryQuery,"Partial server-side request forgery.Making a network request to a URL that is partially user-controlled allows for request forgery attacks..The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination. "
CWE-19,py/chef,CWE CATEGORY: Data Processing Errors,CommandInjectionQuery,
CWE-19,py/serverdensity_device,CWE CATEGORY: Data Processing Errors,CommandInjectionQuery,
CWE-20,py/store_invite_servlet,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-20,py/Viz,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-21,py/pathutils,CWE CATEGORY: DEPRECATED: Pathname Traversal and Equivalence Errors,PathInjectionQuery,
CWE-74,py/client-cwe-74,Server Side Template Injection,UnsafeShellCommandConstructionQuery,Using user-controlled data to create a template can lead to remote code execution or cross site scripting.
CWE-74,py/connection,Server Side Template Injection,CommandInjectionQuery,Using user-controlled data to create a template can lead to remote code execution or cross site scripting.
CWE-79,py/clean,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/compare,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/readers,Reflected server-side cross-site scripting,HttpHeaderInjectionQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-94,py/a_model,Code injection,CommandInjectionQuery,"Interpreting unsanitized user input as code allows a malicious user to perform arbitrary
code execution."
CWE-94,py/openapi,Code injection,UnsafeDeserializationQuery,"Interpreting unsanitized user input as code allows a malicious user to perform arbitrary
code execution."
CWE-200,py/context,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CleartextStorageQuery,
CWE-200,py/formats,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CleartextLoggingQuery,
CWE-200,py/keycloak_cli,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CleartextStorageQuery,
CWE-20,py/registerservlet,CWE-20: Improper Input Validation,SqlInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-20,py/tcp,CWE-20: Improper Input Validation,CleartextLoggingQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-21,py/multifilesystem,CWE CATEGORY: DEPRECATED: Pathname Traversal and Equivalence Errors,PathInjectionQuery,
CWE-79,py/commands,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-125,py/symbol,CWE-125: Out-of-bounds Read,PathInjectionQuery,"The product reads data past the end, or before the beginning, of the intended buffer. "
CWE-200,py/hashers,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,WeakSensitiveDataHashingQuery,
CWE-200,py/settings,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CleartextStorageQuery,
CWE-255,py/parse,CWE CATEGORY: Credentials Management Errors,WeakSensitiveDataHashingQuery,
CWE-264,py/EpsImagePlugin-cwe-264,"CWE CATEGORY: Permissions, Privileges, and Access Controls",PathInjectionQuery,
CWE-264,py/sec,"CWE CATEGORY: Permissions, Privileges, and Access Controls",CommandInjectionQuery,
CWE-287,py/core-cwe-287,CWE-287: Improper Authentication,PamAuthorizationQuery,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct. "
CWE-287,py/service,CWE-287: Improper Authentication,PamAuthorizationQuery,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct. "
CWE-352,py/networkmanager,CSRF protection weakened or disabled,UrlRedirectQuery,"Disabling or weakening CSRF protection may make the application
vulnerable to a Cross-Site Request Forgery (CSRF) attack."
CWE-352,py/webenginequtescheme,CSRF protection weakened or disabled,UrlRedirectQuery,"Disabling or weakening CSRF protection may make the application
vulnerable to a Cross-Site Request Forgery (CSRF) attack."
CWE-400,py/client-cwe-400,CWE-400: Uncontrolled Resource Consumption,PolynomialReDoSQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-400,py/setup,CWE-400: Uncontrolled Resource Consumption,TarSlipQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-476,py/t_pkinit,CWE-476: NULL Pointer Dereference,StackTraceExposureQuery,The product dereferences a pointer that it expects to be valid but is NULL. 
CWE-601,py/generic_worker,URL redirection from remote source,UrlRedirectQuery,"URL redirection based on unvalidated user input
may cause redirection to malicious web sites."
CWE-665,py/parsing_ops,CWE-665: Improper Initialization,UnsafeDeserializationQuery,
CWE-264,py/cpsetup,"CWE CATEGORY: Permissions, Privileges, and Access Controls",TarSlipQuery,
CWE-295,py/server,CWE-295: Improper Certificate Validation,ServerSideRequestForgeryQuery,Request without certificate validation.Making a request without certificate validation can allow man-in-the-middle attacks.
CWE-400,py/emailservlet,CWE-400: Uncontrolled Resource Consumption,HttpHeaderInjectionQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-787,py/gperf_unfold_key_conv,CWE-787: Out-of-bounds Write,CodeInjectionQuery,"The product writes data past the end, or before the beginning, of the intended buffer. "
CWE-835,py/datetime_parse,CWE-835: Loop with Unreachable Exit Condition ('Infinite Loop'),PolynomialReDoSQuery,"The product contains an iteration or loop with an exit condition that cannot be reached, i.e., an infinite loop. "
CWE-863,py/models,CWE-863: Incorrect Authorization,PamAuthorizationQuery,"The product performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. "
CWE-20,py/sydent,CWE-20: Improper Input Validation,ServerSideRequestForgeryQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-20,py/template,CWE-20: Improper Input Validation,TemplateInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-74,py/injectionhelpers,Server Side Template Injection,CommandInjectionQuery,Using user-controlled data to create a template can lead to remote code execution or cross site scripting.
CWE-254,py/default,CWE CATEGORY: 7PK - Security Features,PamAuthorizationQuery,
CWE-255,py/service,CWE CATEGORY: Credentials Management Errors,CleartextStorageQuery,
CWE-264,py/security_groups,"CWE CATEGORY: Permissions, Privileges, and Access Controls",CleartextLoggingQuery,
CWE-264,py/service,"CWE CATEGORY: Permissions, Privileges, and Access Controls",UnsafeShellCommandConstructionQuery,
CWE-287,py/models,CWE-287: Improper Authentication,UnsafeDeserializationQuery,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct. "
CWE-287,py/serializers,CWE-287: Improper Authentication,HttpHeaderInjectionQuery,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct. "
CWE-331,py/__init__,RCE,WeakSensitiveDataHashingQuery,
CWE-352,py/webkitqutescheme,CSRF protection weakened or disabled,ServerSideRequestForgeryQuery,"Disabling or weakening CSRF protection may make the application
vulnerable to a Cross-Site Request Forgery (CSRF) attack."
CWE-362,py/auth,CWE-362: Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),PathInjectionQuery,"The product contains a concurrent code sequence that requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence operating concurrently. "
CWE-400,py/freewvs,CWE-400: Uncontrolled Resource Consumption,PolynomialReDoSQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-400,py/matrixfederationagent,CWE-400: Uncontrolled Resource Consumption,TarSlipQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-400,py/well_known_resolver,CWE-400: Uncontrolled Resource Consumption,ServerSideRequestForgeryQuery,The product does not properly control the allocation and maintenance of a limited resource. 
CWE-476,py/t_kdb,CWE-476: NULL Pointer Dereference,StackTraceExposureQuery,The product dereferences a pointer that it expects to be valid but is NULL. 
CWE-522,py/models,CWE-522: Insufficiently Protected Credentials,CleartextStorageQuery,
CWE-20,py/cloud-cwe-20,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-20,py/firewall,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-20,py/Hg,CWE-20: Improper Input Validation,UnsafeShellCommandConstructionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-20,py/message,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-20,py/script,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-20,py/TProtocol,CWE-20: Improper Input Validation,CodeInjectionQuery,"The product receives input or data, but it does

not validate or incorrectly validates that the input has the

properties that are required to process the data safely and

correctly. "
CWE-74,py/warnsystem,Server Side Template Injection,ReflectedXssQuery,Using user-controlled data to create a template can lead to remote code execution or cross site scripting.
CWE-94,py/app-cwe-94,Code injection,CodeInjectionQuery,"Interpreting unsanitized user input as code allows a malicious user to perform arbitrary
code execution."
CWE-119,py/exception,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,StackTraceExposureQuery,"The product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. This may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data. "
CWE-120,py/bufferedwriter.pyx,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),StackTraceExposureQuery,The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer. 
CWE-125,py/asdl_c,CWE-125: Out-of-bounds Read,CodeInjectionQuery,"The product reads data past the end, or before the beginning, of the intended buffer. "
CWE-125,py/ast3,CWE-125: Out-of-bounds Read,PathInjectionQuery,"The product reads data past the end, or before the beginning, of the intended buffer. "
